Indiana Jones and the Dial of Destiny,"Action, Adventure",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
Barbie,"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
The Flash,"Action, Adventure, Fantasy","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Nimona,"Animation, Action, Adventure","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Raiders of the Lost Ark,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
Elemental,"Animation, Adventure, Comedy","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together."
Dune: Part Two,"Action, Adventure, Drama",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Avatar: The Way of Water,"Action, Adventure, Fantasy","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Indiana Jones and the Kingdom of the Crystal Skull,"Action, Adventure","In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls."
Dungeons & Dragons: Honor Among Thieves,"Action, Adventure, Comedy","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
Transformers: Rise of the Beasts,"Action, Adventure, Sci-Fi","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
Independence Day,"Action, Adventure, Sci-Fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
The Little Mermaid,"Adventure, Family, Fantasy",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
