Sunset Blvd.,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
The Night of the Hunter,"Crime, Drama, Film-Noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
Clash by Night,"Drama, Film-Noir, Romance","Mae Doyle comes back to her hometown a cynical woman. Her brother Joe fears that his love, fish cannery worker Peggy, may wind up like Mae. Mae marries Jerry and has a baby; she is happy but restless, drawn to Jerry's friend Earl."
Rebecca,"Drama, Film-Noir, Mystery",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Notorious,"Drama, Film-Noir, Romance",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
The Third Man,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Double Indemnity,"Crime, Drama, Film-Noir","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
The Maltese Falcon,"Crime, Film-Noir, Mystery","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
The Killing,"Crime, Drama, Film-Noir",Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
Storm Warning,"Crime, Drama, Film-Noir","Marsha Mitchell, a traveling dress model, stops in a southern town to see her sister who has married a Ku Klux Klansman. Marsha sees the KKK commit a murder and helps District Attorney Burt Rainey in bringing the criminals to justice."
The Woman on Pier 13,"Crime, Drama, Film-Noir","Successful, newly married Brad Collins once belonged to the Communist Party of the USA, and now the Party will stop at nothing to use him."
Strangers on a Train,"Crime, Drama, Film-Noir",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
Touch of Evil,"Crime, Drama, Film-Noir","A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
Murder by Invitation,"Comedy, Crime, Drama",A wealthy woman has a murder mystery on her hands when her greedy relatives wind up dead after being invited to her home.
The Big Sleep,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
Whiplash,"Drama, Film-Noir, Sport",A struggling artist becomes a New York City prizefighter in an attempt to win the affection of the ring promoter's night club singing sister.
Shadow of a Doubt,"Film-Noir, Thriller","A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
Spellbound,"Film-Noir, Mystery, Romance",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.
To the Ends of the Earth,"Crime, Film-Noir, Thriller","After witnessing an incident on a foreign ship off California coast, a U.S. Treasury agent aboard a Coast Guard vessel decides to further investigate the matter by following a crime trail leading to China, Egypt, Lebanon and Cuba."
Out of the Past,"Crime, Drama, Film-Noir","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
I Died a Thousand Times,"Crime, Drama, Film-Noir",After aging criminal Roy Earle is released from prison he decides to pull one last heist before retiring - by robbing a resort hotel.
To Have and Have Not,"Adventure, Comedy, Film-Noir","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer."
Mildred Pierce,"Crime, Drama, Film-Noir",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
Niagara,"Film-Noir, Thriller","As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder."
The Naked City,"Crime, Drama, Film-Noir",A step-by-step look at a murder investigation on the streets of New York.
Sweet Smell of Success,"Drama, Film-Noir",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
Gilda,"Drama, Film-Noir, Romance",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
The Postman Always Rings Twice,"Crime, Drama, Film-Noir","A married woman and a drifter fall in love, then plot to murder her husband."
Intruder in the Dust,"Crime, Drama, Family","In 1940s Mississippi, two teenage boys and an elderly woman combine forces to prevent a miscarriage of justice and clear a black man of a murder charge."
Scarface,"Action, Crime, Drama","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
Laura,"Drama, Film-Noir, Mystery",A police detective falls in love with the woman whose murder he is investigating.
Key Largo,"Action, Crime, Drama","A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
Suspicion,"Film-Noir, Mystery, Thriller","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her."
D.O.A.,"Crime, Drama, Film-Noir","Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why."
The Asphalt Jungle,"Crime, Drama, Film-Noir","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel."
Impact,"Crime, Drama, Film-Noir","A unfaithful wife plots with her lover to kill her husband, but the lover is accidentally killed instead. The husband stays in hiding and lets his wife be charged with conspiracy."
In a Lonely Place,"Drama, Film-Noir, Mystery","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
The Fallen Sparrow,"Film-Noir, Mystery","In 1940, an American former Republican prisoner during the Spanish Civil War, John McKittrick, is determined to find the killer of NYPD Lieutenant Louie Lepetino, who had helped him escape."
Shadow on the Wall,"Comedy, Crime, Drama","A woman impulsively murders her sister after discovering she has been having an affair with her fiancé, and later plans on killing the little girl who may have witnessed the crime."
The Big Heat,"Crime, Film-Noir, Thriller",Tough cop Dave Bannion takes on a politically powerful crime syndicate.
Don't Bother to Knock,"Drama, Film-Noir, Mystery","After being dumped by his girlfriend, an airline pilot pursues a babysitter in his hotel and gradually realizes she's dangerous."
The Lady from Shanghai,"Crime, Drama, Film-Noir","Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot."
Killer's Kiss,"Crime, Drama, Film-Noir","Ready to catch a train to his hometown, a washed-up boxer tells us about the strange and twisty events that happened to him the past couple of days."
Hell Drivers,"Crime, Drama, Film-Noir",A rookie trucker tries to expose his boss' rackets.
Kiss Me Deadly,"Crime, Film-Noir, Mystery","A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit""."
Night and the City,"Crime, Film-Noir, Mystery",A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.
The Wrong Man,"Drama, Film-Noir","In 1953, an innocent man named Christopher Emanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber."
Leave Her to Heaven,"Drama, Film-Noir, Romance","A writer falls in love with a young socialite and they're soon married, but her obsessive love for him threatens to be the undoing of them both as well as everyone around them."
The Lost Weekend,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
The Killers,"Crime, Drama, Film-Noir","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins."
White Heat,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
Ace in the Hole,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
Lured,"Crime, Drama, Film-Noir",British police are after a serial killer who lures his female victims through newspaper personal ads and sends cryptic poem clues to the cops.
Caged,"Crime, Drama, Film-Noir","A gentle, naive, pregnant 19-year-old widow is slowly, inexorably ground down by the hardened criminals, sadistic guards, and matron at a woman's prison. Will she be the same person when her sentence is up?"
Whirlpool,"Crime, Drama, Film-Noir","A woman suffering from kleptomania is hypnotized in an attempt to cure her. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence."
Brighton Rock,"Crime, Drama, Film-Noir","In Brighton in 1935, small-time gang leader Pinkie Brown murders a journalist and later desperately tries to cover his tracks but runs into trouble with the police, a few witnesses, and a rival gang."
Odd Man Out,"Crime, Drama, Film-Noir",A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.
Dark Passage,"Film-Noir, Thriller",A man convicted of murdering his wife escapes from prison and works with a woman to try to prove his innocence.
High Sierra,"Action, Adventure, Drama","After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort."
Hell Bound,"Crime, Drama, Film-Noir","After World War II, a Los Angeles crime ring uses a complex scheme, involving a freight ship, a junkie, and a corrupt health officer, to smuggle drugs into the USA."
Dead Reckoning,"Crime, Drama, Film-Noir","A soldier runs away rather than receive the Medal of Honor, so his buddy gets permission to investigate, and love and death soon follow."
Undercurrent,"Drama, Film-Noir, Thriller",Middle-aged bride Ann Hamilton soon begins to suspect that her charming husband is really a psychotic who plans to murder her.
The Verdict,"Crime, Drama, Film-Noir","After an innocent man is executed in a case for which he was not responsible, a Scotland Yard superintendent finds himself investigating the murder of his key witness."
Another Man's Poison,"Crime, Drama, Film-Noir",A mystery writer becomes involved in a tangled web of murderous deception not unlike the plots of her novels.
Angels with Dirty Faces,"Crime, Drama, Film-Noir",A priest tries to stop a gangster from corrupting a group of street kids.
Thunder Road,"Crime, Drama, Film-Noir",A veteran comes home from the Korean War to the mountains and takes over the family moonshining business. He has to battle big-city gangsters who are trying to take over the business and the police who are trying to put him in prison.
Flaxy Martin,"Crime, Drama, Film-Noir",Mob attorney Walter Colby is manipulated by showgirl Flaxy Martin into taking the rap for a murder committed by mobster Hap Richie's goons but he escapes and tries to get revenge.
Scarlet Street,"Crime, Drama, Film-Noir","A man in mid-life crisis befriends a young woman, though her fiancé persuades her to con him out of the fortune they mistakenly assume he possesses."
They Live by Night,"Crime, Film-Noir, Romance","An escaped convict injured during a robbery falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning."
Nightmare,"Crime, Drama, Film-Noir",A New Orleans musician has a nightmare about killing a man in a strange house but he suspects that it really happened.
The Unholy Wife,"Crime, Drama, Film-Noir",A gold-digger floozy marries a wealthy wine producer but she secretly takes a young lover with whom she conspires to murder her husband for his fortune.
Detour,"Crime, Drama, Film-Noir","The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend."
The Damned Don't Cry,"Crime, Drama, Film-Noir",A New York socialite climbs the ladder of success man by man until a life among rich gangsters gives her what she thought she always wanted.
Rope of Sand,"Action, Adventure, Crime",A man abused by a sadistic mining company cop before he could tell where on their desert property he'd found diamonds decides to steal them instead.
Nightmare Alley,"Drama, Film-Noir","The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall."
The Hitch-Hiker,"Crime, Drama, Film-Noir",Two fishermen pick up a psychopathic escaped convict who tells them that he intends to murder them when the ride is over.
Angel Face,"Crime, Drama, Film-Noir",Ambulance driver Frank Jessup is ensnared in the schemes of the sensuous but dangerous Diane Tremayne.
"Murder, My Sweet","Crime, Drama, Film-Noir","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit."
The Suspect,"Drama, Film-Noir, Thriller","An unhappily married man begins a flirtation with a younger woman. When his wife threatens to ruin her, he decides to take action."
Hunt the Man Down,"Crime, Film-Noir, Mystery","The suspect in a 12-year-old murder case is finally caught and tried, but the witnesses are a bit hard to track down..."
The Stranger,"Crime, Drama, Film-Noir",An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.
The Big Shot,"Crime, Drama, Film-Noir","Fearing life in prison for a fourth offense, convict Duke Berne pulls out of an armored car robbery, planned by his crooked lawyer, but he is framed for the robbery anyway."
The File on Thelma Jordon,"Crime, Drama, Film-Noir",Assistant district attorney Cleve Marshall falls for the mysterious Thelma Jordon when she seeks help solving robberies of her aunt's estate.
Pickup on South Street,"Crime, Film-Noir, Mystery",A pickpocket unwittingly lifts a message destined for enemy agents and becomes a target for a Communist spy ring.
Somewhere in the Night,"Crime, Drama, Film-Noir","George Taylor returns from WWII with amnesia. Back home in Los Angeles, while trying to track down his old identity, he stumbles onto a 3-year old murder case and a hunt for a missing $2 million."
Cry of the City,"Crime, Drama, Film-Noir","Police Lieut. Candella, longtime friend of the Rome family, walks a tightrope in the case of cop-killer Martin Rome."
Pitfall,"Crime, Film-Noir, Thriller",Married insurance adjuster John Forbes falls for femme fatale Mona Stevens while her boyfriend is in jail and all suffer serious consequences as a result.
Call Northside 777,"Drama, Film-Noir",Chicago reporter P.J. McNeal re-opens a decade-old murder case.
All the King's Men,"Drama, Film-Noir","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal."
Kiss of Death,"Crime, Drama, Film-Noir",Nick Bianco is caught during a botched jewellery heist. The prosecution offer him a more lenient sentence if he squeals on his accomplices but he doesn't roll over on them. Three years into the sentence an event changes his mind.
