Killers of the Flower Moon (2023),"Crime, Drama, History","Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s, sparking a major F.B.I. investigation involving J. Edgar Hoover."
Bone Tomahawk (2015),"Drama, Horror, Western","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
Django Unchained (2012),"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Tombstone (1993),"Biography, Drama, History","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
The Revenant (I) (2015),"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
The Ballad of Buster Scruggs (2018),"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
The Hateful Eight (2015),"Crime, Drama, Mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
The Magnificent Seven (2016),"Action, Adventure, Drama",Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.
"Il buono, il brutto, il cattivo (1966)","Adventure, Western",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Blazing Saddles (1974),"Comedy, Western","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
3:10 to Yuma (2007),"Action, Crime, Drama",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
Old Henry (2021),"Action, Drama, Western","An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question."
Legends of the Fall (1994),"Drama, Romance, War","In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
Wind River (2017),"Crime, Drama, Mystery","A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
Young Guns (1988),"Action, Drama, Western","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
Once Upon a Time in the West (1968),Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
True Grit (2010),"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
Hell or High Water (II) (2016),"Crime, Drama, Thriller","Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
Hostiles (2017),"Drama, Western","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
Unforgiven (1992),"Drama, Western","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Dances with Wolves (1990),"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
The Power of the Dog (2021),"Drama, Western","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
Seven Brides for Seven Brothers (1954),"Comedy, Drama, Musical","In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too."
The Old Way (2023),"Action, Drama, Western","An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge."
Let Him Go (2020),"Crime, Drama, Thriller","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson."
Winchester '73 (1950),"Action, Drama, Western",A cowboy's obsession with a stolen rifle leads to a bullet-ridden odyssey through the American West.
The Harder They Fall (2021),"Action, Drama, Western","When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge."
Young Guns II (1990),"Action, Drama, Western","In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid."
Back to the Future Part III (1990),"Adventure, Comedy, Sci-Fi","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered."
Open Range (2003),"Action, Drama, Romance",A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
The Cowboys (1972),"Adventure, Drama, Western",Rancher Wil Andersen is forced to hire inexperienced boys as cowhands in order to get his herd to market on time but the rough drive is full of dangers and a gang of cattle rustlers is trailing them.
The Magnificent Seven (1960),"Action, Adventure, Drama",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
High Plains Drifter (1973),"Drama, Mystery, Western",A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.
Cowboys & Aliens (2011),"Action, Drama, Sci-Fi","A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
Giant (1956),"Drama, Western",Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
Wild Wild West (1999),"Action, Comedy, Sci-Fi","The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War."
Rango (2011),"Animation, Action, Adventure","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
The Outlaw Josey Wales (1976),Western,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
Per qualche dollaro in più (1965),"Drama, Western",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
The Quick and the Dead (1995),"Action, Drama, Romance","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
News of the World (2020),"Action, Adventure, Drama",A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.
Butch Cassidy and the Sundance Kid (1969),"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
The Mask of Zorro (1998),"Action, Adventure, Comedy","A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
Dead for a Dollar (2022),"Thriller, Western","A famed bounty hunter runs into his sworn enemy, a professional gambler and outlaw that he had sent to prison years before."
The Harvey Girls (1946),"Comedy, Drama, History","On a train trip West to become a mail-order bride, Susan Bradley (Judy Garland) meets a cheery crew of young women travelling out to open a ""Harvey House"" restaurant at a remote whistle-stop."
Desperado (1995),"Action, Crime, Drama",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
The Assassination of Jesse James by the Coward Robert Ford (2007),"Biography, Crime, Drama","Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
The Last Stand (2013),"Action, Thriller, Western","The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff."
How to Blow Up a Pipeline (2022),"Crime, Drama, Thriller",A crew of environmental activists plot a daring plan to disrupt an oil pipeline.
The Dark Tower (2017),"Action, Adventure, Fantasy",A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.
Urban Cowboy (1980),"Drama, Romance, Western",Bud is a young man from the country who learns about life and love in a Houston bar.
The Longest Ride (2015),"Comedy, Drama, Romance","The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
Surrounded (2023),Western,"Former Buffalo Soldier Mo Washington travels West to lay claim on a gold mine. After her stagecoach is ambushed, Mo is tasked with holding a dangerous outlaw captive and must survive the day when the bandit's gang tries to free him."
True Grit (1969),"Adventure, Drama, Western","A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory."
Per un pugno di dollari (1964),"Action, Drama, Western","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
City Slickers (1991),"Comedy, Western","On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
The Salvation (2014),"Action, Drama, Thriller","In 1870s America, the fury of a notorious gang leader is unleashed when a peaceful American settler avenges the death of his family. Then as his cowardly fellow townspeople betray him, he is forced to hunt down the outlaws alone."
Three Amigos! (1986),"Comedy, Western","Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."
Chaos Walking (2021),"Action, Adventure, Fantasy",Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.
Brimstone (2016),"Drama, Mystery, Thriller","From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger."
